name,true_score,game,review_link,useless1,Site_address,useless12,useless13,useless14,,,,,,
NowGamer,80,,http://multiplayer.it/recensioni/129012-dead-nation-apocalypse-edition-apocalisse-zombie.html,,,,,,,,,,,
God is a Geek,80,,http://www.eurogamer.it/articles/2014-03-02-dead-nation-apocalypse-edition-review-recensione,,,,,,,,,,,
Multiplayer.it,80,,http://www.meristation.com/playstation-4/dead-nation-apocalypse-edition/analisis-juego/1960139,,,,,,,,,,,
Eurogamer Italy,80,,http://it.ign.com/recensione/12309/la-reincarnazione-di-dead-nation-apocalypse-edition,,,,,,,,,,,
Meristation,80,,http://nzgamer.com/reviews/2063/dead-nation-apocalypse-edition.html,,,,,,,,,,,
IGN Italia,78,,http://www.gameover.gr/reviews/item/27168-dead-nation-apocalypse-edition,,,,,,,,,,,
NZGamer,75,,http://www.eurogamer.pt/articles/2014-03-04-dead-nation-apocalypse-edition-analise,,,,,,,,,,,
Play UK,74,,http://www.gameblog.fr/tests/1876-dead-nation-apocalypse-edition-ps4,,,,,,,,,,,
Playstation Official Magazine UK,70,,http://www.gamereactor.dk/anmeldelser/201684/Dead+Nation%3A+Apocalypse+Edition/,,,,,,,,,,,
GameOver.gr,70,,http://www.merlininkazani.com/Dead_Nation_Apocalypse_Edition-oyun_inceleme-71826p1.html,,,,,,,,,,,
Eurogamer Portugal,70,,http://www.digitallydownloaded.net/2014/03/review-dead-nation-apocalypse-edition.html,,,,,,,,,,,
Gameblog.fr,70,,http://www.pushsquare.com/reviews/ps4/dead_nation_apocalypse_edition,,,,,,,,,,,
Gamereactor Denmark,70,,http://metro.co.uk/2014/03/05/dead-nation-apocalypse-edition-review-zombie-free-4415878/,,,,,,,,,,,
Merlin'in Kazanı (Turkey),62,,,,,,,,,,,,,
Digitally Downloaded,60,,,,,,,,,,,,,
Push Square,60,,,,,,,,,,,,,
Metro GameCentral,50,,,,,,,,,,,,,
LaPS4,90,Dead Nation: Apocalypse Edition,http://www.laps3.com/analisis/406418-analisis_dead_nation_apocalypse_edition.html,http:,www.laps3.com,analisis,406418-analisis_dead_nation_apocalypse_edition.html,,,,,,,
Gamer.nl,85,,http://www.gamer.nl/review/453619/dead-nation-apocalypse-edition-meer-zombies-dan-je-hersenen-aan-kunnen,,,,,,,,,,,
4Players.de,82,,http://www.4players.de/4players.php/dispbericht/PlayStation4/Test/18623/80352/0/Dead_Nation.html,,,,,,,,,,,
Vandal Online,81,,http://www.vandal.net/analisis/ps4/dead-nation-apocalypse-edition/23552,,,,,,,,,,,
Pelit (Finland),80,,http://www.xgn.nl/ps4/review/55023/dead-nation-apocalypse-edition/,,,,,,,,,,,
Playstation Official Magazine Australia,80,,http://www.ign.com/articles/2014/04/04/dead-nation-apocalypse-edition-review,,,,,,,,,,,
XGN,80,,http://www.everyeye.it/ps4/articoli/dead-nation-apocalypse-edition_recensione_21825,,,,,,,,,,,
IGN,80,,http://www.eurogamer.de/articles/2014-03-07-dead-nation-apocalypse-edition-test,,,,,,,,,,,
Everyeye.it,80,,http://www.3djuegos.com/juegos/analisis/18603/0/dead-nation-apocalypse/,,,,,,,,,,,
Eurogamer Germany,80,,http://www.psu.com/a022671/Dead-Nation--Apocalypse-Edition-PS4-review,,,,,,,,,,,
3DJuegos,80,,http://www.nowgamer.com/ps4/ps4-review/2305963/dead_nation_apocalypse_edition_review.html,,,,,,,,,,,
Playstation Universe,80,,http://www.godisageek.com/2014/03/dead-nation-apocalypse-edition-review/,,,,,,,,,,,
NowGamer,80,,http://multiplayer.it/recensioni/129012-dead-nation-apocalypse-edition-apocalisse-zombie.html,,,,,,,,,,,
God is a Geek,80,,http://www.eurogamer.it/articles/2014-03-02-dead-nation-apocalypse-edition-review-recensione,,,,,,,,,,,
Multiplayer.it,80,,http://www.meristation.com/playstation-4/dead-nation-apocalypse-edition/analisis-juego/1960139,,,,,,,,,,,
Eurogamer Italy,80,,http://it.ign.com/recensione/12309/la-reincarnazione-di-dead-nation-apocalypse-edition,,,,,,,,,,,
Meristation,80,,http://nzgamer.com/reviews/2063/dead-nation-apocalypse-edition.html,,,,,,,,,,,
IGN Italia,78,,http://www.gameover.gr/reviews/item/27168-dead-nation-apocalypse-edition,,,,,,,,,,,
NZGamer,75,,http://www.eurogamer.pt/articles/2014-03-04-dead-nation-apocalypse-edition-analise,,,,,,,,,,,
Play UK,74,,http://www.gameblog.fr/tests/1876-dead-nation-apocalypse-edition-ps4,,,,,,,,,,,
Playstation Official Magazine UK,70,,http://www.gamereactor.dk/anmeldelser/201684/Dead+Nation%3A+Apocalypse+Edition/,,,,,,,,,,,
GameOver.gr,70,,http://www.merlininkazani.com/Dead_Nation_Apocalypse_Edition-oyun_inceleme-71826p1.html,,,,,,,,,,,
Eurogamer Portugal,70,,http://www.digitallydownloaded.net/2014/03/review-dead-nation-apocalypse-edition.html,,,,,,,,,,,
Gameblog.fr,70,,http://www.pushsquare.com/reviews/ps4/dead_nation_apocalypse_edition,,,,,,,,,,,
Gamereactor Denmark,70,,http://metro.co.uk/2014/03/05/dead-nation-apocalypse-edition-review-zombie-free-4415878/,,,,,,,,,,,
Merlin'in Kazanı (Turkey),62,,,,,,,,,,,,,
Digitally Downloaded,60,,,,,,,,,,,,,
Push Square,60,,,,,,,,,,,,,
Metro GameCentral,50,,,,,,,,,,,,,
Digitally Downloaded,100,Dead or Alive 5: Last Round,http://www.digitallydownloaded.net/2015/02/review-dead-or-alive-5-last-round-sony.html,http:,www.digitallydownloaded.net,2015,2,review-dead-or-alive-5-last-round-sony.html,,,,,,
GamesBeat,90,,http://venturebeat.com/2015/02/25/dead-or-alive-5-last-round-is-a-surprise-underdog-in-the-fighting-game-ring/view-all/,,,,,,,,,,,
Game Over Online,85,,http://www.game-over.com/content/2015/03/dead-or-alive-5-last-round,,,,,,,,,,,
NZGamer,85,,http://nzgamer.com/reviews/2222/dead-or-alive-5-last-round.html,,,,,,,,,,,
Impulsegamer,82,,http://www.impulsegamer.com/dead-or-alive-5-last-round-ps4-review/,,,,,,,,,,,
GameOver.gr,80,,http://www.gameover.gr/reviews/item/30274-dead-or-alive-5-last-round,,,,,,,,,,,
We Got This Covered,80,,http://wegotthiscovered.com/gaming/dead-alive-5-last-round-review/,,,,,,,,,,,
God is a Geek,80,,http://www.godisageek.com/reviews/dead-alive-5-review/,,,,,,,,,,,
Softpedia,80,,http://www.softpedia.com/reviews/games/playstation-4/Dead-or-Alive-5-Last-Round-Review-474122.shtml,,,,,,,,,,,
GamesVillage.it,80,,http://www.gamesvillage.it/videogiochi/dead-or-alive-5-last-round-recensione-review-ps4-ps3-xbox-one-360-pc-steam/,,,,,,,,,,,
IGN Italia,80,,http://it.ign.com/dead-or-alive-5-last-round-ps4/93615/review/dead-or-alive-5-last-round-la-recensione,,,,,,,,,,,
3DJuegos,80,,http://www.3djuegos.com/juegos/analisis/20295/0/dead-or-alive-5-last-round/,,,,,,,,,,,
Vandal Online,80,,http://www.vandal.net/analisis/ps4/dead-or-alive-5-last-round/25960,,,,,,,,,,,
Eurogamer Italy,80,,http://www.eurogamer.it/articles/2015-02-17-dead-or-alive-5-last-round-recensione,,,,,,,,,,,
Meristation,80,,http://www.meristation.com/playstation-4/dead-or-alive-5-last-round/analisis-juego/2004736,,,,,,,,,,,
Hobby Consolas,79,,http://www.hobbyconsolas.com/reviews/analisis-dead-or-alive-5-last-round-110382,,,,,,,,,,,
LaPS4,78,,http://www.laps4.com/analisis/418246-analisis_dead_alive_5_last_round.html,,,,,,,,,,,
JeuxActu,75,,%20http://www.jeuxactu.com/test-dead-or-alive-5-last-round-sur-ps4-97509.htm,,,,,,,,,,,
Game Informer,73,,http://www.gameinformer.com/games/dead_or_alive_5_last_round/b/playstation4/archive/2015/02/20/dead-or-alive-5-last-round-game-informer-review.aspx,,,,,,,,,,,
Everyeye.it,73,,http://www.everyeye.it/ps4/articoli/dead-or-alive-5-last-round_recensione_25024,,,,,,,,,,,
Multiplayer.it,72,,http://multiplayer.it/recensioni/145460-dead-or-alive-5-last-round-lultimo-kleenex.html,,,,,,,,,,,
Playstation Universe,70,,http://www.psu.com/review/26149/Dead-or-Alive-5--Last-Round-PS4-Review,,,,,,,,,,,
Hardcore Gamer,70,,http://www.hardcoregamer.com/2015/02/26/review-dead-or-alive-5-last-round/136156/,,,,,,,,,,,
Game Revolution,70,,http://www.gamerevolution.com/review/dead-or-alive-5-last-round,,,,,,,,,,,
Gamestyle,70,,http://gamestyle.com/review/dead-or-alive-5-last-round-review/,,,,,,,,,,,
Arcade Sushi,70,,http://arcadesushi.com/dead-or-alive-5-last-round-review-playstation-4/,,,,,,,,,,,
DarkZero,70,,http://darkzero.co.uk/game-reviews/dead-or-alive-5-last-round-ps4/,,,,,,,,,,,
PlayStation LifeStyle,70,,http://www.playstationlifestyle.net/2015/02/23/dead-or-alive-5-last-round-review-ps4/#/slide/1,,,,,,,,,,,
TheSixthAxis,70,,http://www.thesixthaxis.com/2015/02/23/dead-or-alive-5-last-round-review/,,,,,,,,,,,
Cheat Code Central,70,,http://www.cheatcc.com/ps4/rev/deadoralive5lastroundreview.html,,,,,,,,,,,
Push Square,70,,http://www.pushsquare.com/reviews/ps4/dead_or_alive_5_last_round,,,,,,,,,,,
Gamer.nl,65,,http://www.gamer.nl/review/500351/dead-or-alive-5-last-round-meer-beef-en-tieten,,,,,,,,,,,
Metro GameCentral,60,,http://metro.co.uk/2015/02/26/dead-or-alive-5-last-round-review-the-physics-of-sexism-5080637/,,,,,,,,,,,
CGMagazine,50,,http://www.cgmagonline.com/reviews/dead-or-alive-5-last-round/,,,,,,,,,,,
Playstation Official Magazine Australia,100,Destiny,http://digitalchumps.com/game-reviews/352-playstation-4/destiny.html,http:,digitalchumps.com,game-reviews,352-playstation-4,destiny.html,,,,,,
Digital Chumps,96,,http://business.financialpost.com/2014/09/10/destiny-review-bungies-500m-shooter-is-weird-cool-deliberate-and-maybe-not-for-everyone/?__lsa=278a-2ee6,,,,,,,,,,,
Post Arcade (National Post),95,,http://www.impulsegamer.com/destiny-ps4-review/,,,,,,,,,,,
Impulsegamer,92,,http://www.gamesradar.com/destiny-review/,,,,,,,,,,,
GamesRadar+,90,,http://www.darkstation.com/reviews/destiny/,,,,,,,,,,,
Playstation Official Magazine UK,90,,http://www.laps3.com/analisis/413539-analisis_destiny_ps4.html,,,,,,,,,,,
DarkStation,90,,http://cheatcc.com/ps4/rev/destinyreview.html,,,,,,,,,,,
LaPS4,90,,http://www.actiontrip.com/reviews/ps4/destiny.phtml,,,,,,,,,,,
Cheat Code Central,90,,http://www.gameinformer.com/games/destiny/b/playstation4/archive/2014/09/15/destiny-game-informer-review.aspx,,,,,,,,,,,
Pelit (Finland),89,,http://canadianonlinegamers.com/review/destiny-review/,,,,,,,,,,,
ActionTrip,88,,http://it.ign.com/destiny-ps4/81039/review/destiny-la-recensione,,,,,,,,,,,
Game Informer,88,,http://multiplayer.it/recensioni/137456-destiny-alla-resa-dei-conti.html,,,,,,,,,,,
Canadian Online Gamers,88,,http://www.vandal.net/analisis/ps4/destiny/20536/,,,,,,,,,,,
IGN Italia,88,,http://www.game-over.com/content/2014/09/destiny/,,,,,,,,,,,
Multiplayer.it,87,,http://www.gamer.nl/review/498061/destiny-nooit-meer-in-je-eentje-op-avontuur,,,,,,,,,,,
Vandal Online,87,,http://www.playstationlifestyle.net/2014/09/13/destiny-review/#/slide/1,,,,,,,,,,,
Play UK,85,,http://www.everyeye.it/ps4/articoli/destiny_recensione_23573,,,,,,,,,,,
Game Over Online,85,,http://www.xgn.nl/review/59026/destiny,,,,,,,,,,,
Gamer.nl,85,,http://worthplaying.com/article/2014/9/11/reviews/93513/,,,,,,,,,,,
PlayStation LifeStyle,85,,http://www.pu.nl/artikelen/review/destiny-review/,,,,,,,,,,,
Everyeye.it,85,,http://www.gaming-age.com/2014/09/destiny-review-ps4-xbox-one/,,,,,,,,,,,
XGN,85,,http://www.gamestm.co.uk/reviews/destiny-review/,,,,,,,,,,,
Worth Playing,85,,http://darkzero.co.uk/game-reviews/destiny/,,,,,,,,,,,
Power Unlimited,84,,http://www.gamereactor.dk/anmeldelser/242424/Destiny/,,,,,,,,,,,
Gaming Age,83,,http://www.digitalspy.com/gaming/review/a597696/destiny-review-ps4-a-thrilling-first-week-for-the-online-shooter.html,,,,,,,,,,,
Edge Magazine,80,,http://www.eurogamer.es/articles/analisis-destiny,,,,,,,,,,,
games(TM),80,,http://www.gamereactor.se/recensioner/189824/Destiny/,,,,,,,,,,,
DarkZero,80,,http://www.softpedia.com/reviews/games/playstation-4/Destiny-Review-459094.shtml,,,,,,,,,,,
Gamereactor Denmark,80,,http://www.gamingnexus.com/Article/4538/Destiny/,,,,,,,,,,,
Digital Spy,80,,http://gamingtrend.com/reviews/destiny-ambitious-flawed-and-somehow-compelling/,,,,,,,,,,,
Eurogamer Spain,80,,http://www.eurogamer.net/articles/2014-09-17-destiny-review,,,,,,,,,,,
Gamereactor Sweden,80,,%20http://www.jeuxactu.com/test-destiny-ps4-se-bonifie-comme-le-vin-95250.htm,,,,,,,,,,,
Softpedia,80,,http://www.psx-sense.nl/175353/review-destiny/,,,,,,,,,,,
Gaming Nexus,80,,http://www.gamerevolution.com/review/destiny,,,,,,,,,,,
GamingTrend,80,,http://www.eurogamer.pt/articles/2014-09-15-destiny-analise,,,,,,,,,,,
Eurogamer,80,,http://www.gameplanet.com.au/playstation-4/reviews/g54161e0440383/Destiny-review,,,,,,,,,,,
Joystiq,80,,http://www.3djuegos.com/juegos/analisis/15710/0/destiny/,,,,,,,,,,,
JeuxActu,80,,http://www.gametrailers.com/reviews/a9kp5x/destiny-review,,,,,,,,,,,
PSX-Sense.nl,80,,http://www.eurogamer.it/articles/2014-09-09-destiny-review-recensione,,,,,,,,,,,
Game Revolution,80,,http://gamestyle.com/review/destiny-review/,,,,,,,,,,,
Eurogamer Portugal,80,,http://www.pushsquare.com/reviews/ps4/destiny,,,,,,,,,,,
Gameplanet,80,,http://www.theguardian.com/technology/2014/sep/11/destiny-bungie-halo-game-review,,,,,,,,,,,
3DJuegos,80,,http://www.hardcoregamer.com/2014/09/11/review-destiny/103472/,,,,,,,,,,,
GameTrailers,80,,http://www.merlininkazani.com/Destiny-oyun_inceleme-77007p1.html,,,,,,,,,,,
Eurogamer Italy,80,,http://www.ign.com/articles/2014/09/03/destiny-review,,,,,,,,,,,
Gamestyle,80,,http://www.insidegamer.nl/recensies/113421/destiny-review-blijkt-slechts-het-begin,,,,,,,,,,,
Push Square,80,,http://www.levelup.com/PlayStation-4/juegos/283013/Destiny/review,,,,,,,,,,,
Guardian,80,,http://www.psu.com/review/24712/Destiny-Review--Hope-for-its-future,,,,,,,,,,,
Hardcore Gamer,80,,http://www.spaziogames.it/recensioni_videogiochi/console_multi_piattaforma/16753/destiny.aspx,,,,,,,,,,,
Merlin'in Kazanı (Turkey),79,,http://www.psxextreme.com/ps4-reviews/40.html,,,,,,,,,,,
IGN,78,,http://www.lazygamer.net/xbox-360/destiny-review-dull-side-of-the-moon/,,,,,,,,,,,
InsideGamer.nl,78,,http://www.ztgd.com/reviews/destiny-ps4-review/,,,,,,,,,,,
Games Master UK,77,,http://venturebeat.com/2014/09/15/destiny-review/view-all/,,,,,,,,,,,
LevelUp,77,,http://www.rpgamer.com/games/destiny/destiny/reviews/destinystrev1.html,,,,,,,,,,,
CD-Action,75,,http://gaming.thedigitalfix.com/content/id/2615/destiny.html,,,,,,,,,,,
Game World Navigator Magazine,75,,http://www.gamerstemple.com/game-reviews/playstation-4/8280/destiny-review,,,,,,,,,,,
Playstation Universe,75,,http://www.rpgfan.com/reviews/Destiny/index.html,,,,,,,,,,,
SpazioGames,75,,http://www.mmorpg.com/gamelist.cfm/game/927/view/reviews/load/346/Not-the-Ghost-with-the-Most.html,,,,,,,,,,,
PSX Extreme,75,,http://www.thesixthaxis.com/2014/09/23/destiny-review/,,,,,,,,,,,
Lazygamer,75,,http://www.torontosun.com/2014/09/16/destiny-review-a-shooter-worth-your-time,,,,,,,,,,,
ZTGD,74,,http://www.gameover.gr/reviews/item/28894-destiny,,,,,,,,,,,
GamesBeat,73,,http://www.videogamer.com/reviews/destiny_review.html,,,,,,,,,,,
RPGamer,70,,http://www.usgamer.net/articles/destiny-ps4-review,,,,,,,,,,,
The Digital Fix,70,,http://www.shacknews.com/article/86325/destiny-review-ambition-versus-execution,,,,,,,,,,,
Gamers' Temple,70,,http://www.digitallydownloaded.net/2014/09/review-destiny-sony-playstation-4.html,,,,,,,,,,,
RPG Fan,70,,http://www.eurogamer.de/articles/2014-09-15-destiny-test,,,,,,,,,,,
MMORPG.com,70,,http://www.slantmagazine.com/games/review/destiny,,,,,,,,,,,
TheSixthAxis,70,,http://www.gameblog.fr/tests/2046-destiny-xbox-one-ps4,,,,,,,,,,,
Toronto Sun,70,,http://metro.co.uk/2014/09/12/destiny-review-the-final-verdict-4866002/,,,,,,,,,,,
GameOver.gr,70,,http://nzgamer.com/reviews/2130/destiny.html,,,,,,,,,,,
VideoGamer,70,,http://killscreendaily.com/articles/i-still-believe-destiny/,,,,,,,,,,,
USgamer,70,,http://www.4players.de/4players.php/dispbericht/PlayStation4/Test/31042/80726/0/Destiny.html,,,,,,,,,,,
Shacknews,70,,http://www.gamefront.com/destiny-review-safe-conservative-and-boring/,,,,,,,,,,,
Digitally Downloaded,70,,http://www.destructoid.com/review-destiny-281179.phtml,,,,,,,,,,,
Eurogamer Germany,70,,http://www.gry-online.pl/S020.asp?ID=9979,,,,,,,,,,,
Slant Magazine,70,,http://www.egmnow.com/articles/reviews/egm-review-destiny/,,,,,,,,,,,
Gameblog.fr,70,,http://www.quartertothree.com/fp/2014/10/02/destiny-review/,,,,,,,,,,,
Metro GameCentral,70,,http://games.tiscali.cz/recenze/destiny-recenze-242949,,,,,,,,,,,
NZGamer,70,,http://www.gamer.no/artikler/anmeldelse-drepende-repetitivt-og-sjellost/163561,,,,,,,,,,,
Kill Screen,68,,http://www.gamespot.com/reviews/destiny-review/1900-6415863/,,,,,,,,,,,
4Players.de,67,,http://www.giantbomb.com/reviews/destiny-review/1900-655/,,,,,,,,,,,
GameFront,65,,http://www.polygon.com/2014/9/12/6138497/destiny-review-no-fate,,,,,,,,,,,
Destructoid,65,,http://www.escapistmagazine.com/articles/view/video-games/editorials/reviews/12236-Destiny-Review?utm_source=latest&utm_medium=index_carousel&utm_campaign=all,,,,,,,,,,,
GRYOnline.pl,65,,http://level7.nu/pages/Destiny,,,,,,,,,,,
EGM,65,,http://www.gamecritics.com/brad-gallaway/destiny-review,,,,,,,,,,,
LEVEL (Czech Republic),60,,,,,,,,,,,,,
Quarter to Three,60,,,,,,,,,,,,,
Games.cz,60,,,,,,,,,,,,,
Gamer.no,60,,,,,,,,,,,,,
GameSpot,60,,,,,,,,,,,,,
Giant Bomb,60,,,,,,,,,,,,,
Polygon,60,,,,,,,,,,,,,
The Escapist,60,,,,,,,,,,,,,
Level7.nu,50,,,,,,,,,,,,,
GameCritics,45,,,,,,,,,,,,,
